song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
186400,0.000169,0.523,0.972,0.0187,9,0.123,-4.451,1,0.119,102.64,4,0.501
240000,0.379,0.928,0.675,0.0,5,0.0533,-3.535,1,0.0566,105.952,4,0.794
184489,0.0613,0.729,0.656,0.0,0,0.0874,-8.56,1,0.0432,159.968,4,0.492
157640,0.629,0.578,0.447,0.0,4,0.19,-14.212,1,0.032,116.128,4,0.808
233028,0.2,0.667,0.478,0.0,2,0.0927,-5.345,1,0.0316,113.502,4,0.337
200480,0.123,0.651,0.801,0.0,0,0.0825,-7.34,1,0.0513,133.763,4,0.776
179760,0.896,0.593,0.205,5.46e-05,9,0.119,-14.601,1,0.0479,140.279,4,0.377
243066,0.576,0.724,0.436,1.19e-06,0,0.0908,-9.321,1,0.0282,130.439,4,0.324
187093,0.00209,0.484,0.756,0.314,6,0.3,-4.379,0,0.0579,139.9,4,0.239
203733,0.0027,0.458,0.971,0.0,8,0.179,-4.549,1,0.1,149.938,4,0.489
225400,0.798,0.3,0.364,6.35e-06,11,0.116,-7.385,1,0.032,184.241,3,0.391
196426,0.0631,0.777,0.696,0.0,7,0.503,-8.168,1,0.118,92.96,4,0.527
381733,0.0296,0.875,0.644,0.908,2,0.0696,-11.55,1,0.0378,117.561,4,0.762
280080,0.417,0.635,0.454,4.02e-05,0,0.0816,-9.457,0,0.0393,79.097,4,0.531
179361,0.381,0.682,0.859,0.0,2,0.384,-2.713,0,0.105,102.127,4,0.848
218093,0.284,0.778,0.824,0.0,10,0.405,-5.892,0,0.0712,100.024,4,0.756
276746,0.0041,0.754,0.763,0.163,6,0.0938,-6.685,1,0.0298,109.996,4,0.799
272788,0.983,0.512,0.0155,8.97e-05,3,0.294,-21.223,1,0.0441,67.882,4,0.196
199462,0.282,0.589,0.884,0.0,11,0.0908,-4.313,0,0.482,163.88,4,0.562
245411,0.504,0.211,0.372,0.00446,7,0.113,-12.918,1,0.0417,167.574,4,0.159
233482,0.465,0.807,0.521,0.00183,10,0.126,-9.686,0,0.233,131.963,4,0.308
244666,0.722,0.526,0.37,0.0,3,0.157,-10.535,1,0.025,76.002,4,0.251
255757,0.0626,0.727,0.7,0.0,0,0.1,-7.557,0,0.11,100.019,4,0.663
212500,0.153,0.841,0.798,3.33e-06,1,0.0618,-4.206,0,0.229,95.948,4,0.591
279840,0.0568,0.606,0.713,0.00262,9,0.0814,-5.987,1,0.0314,120.016,4,0.549
270586,0.177,0.821,0.774,0.000676,11,0.0577,-3.418,1,0.235,93.425,4,0.547
